Grupo de anuncios;Audiencia: Edad;Audiencia: País;Audiencia: Tipo de dispositivo;Audiencia: Género;Campaña: Tipo de canal publicitario;Campaña: Nombre de campaña;? Conversiones: Valor total de conversiones;Conversiones: Categoría de acción de conversión;Conversiones: Nombre de acción de conversión;? Conversiones: Valor de conversiones;? Coste: Importe gastado;Dimensión: Fecha;Dimensión: Fuente;? Rendimiento: Total de conversiones;? Rendimiento: Clics;? Rendimiento: Conversiones;? Rendimiento: Impresiones;? Vídeo: Visualizaciones;CPC Coste por clic;CPV Coste por visualización
Leads Potenciales;25-34;Argentina;Móvil;Otro;Display;Promo Verano;1747.18;Registro;Descarga App;728.76;328.45;2021-02-27;YouTube;129;33255;129;389801;14971;0.0099;0.0219
Segmento Interesados;45-54;Argentina;Móvil;Femenino;Búsqueda;Reactivación;1571.99;Registro;Formulario Contacto;882.47;523.38;2021-07-19;YouTube;139;22206;66;376458;13758;0.0236;0.038
Leads Potenciales;18-24;Colombia;Tablet;Femenino;Display;Promo Verano;2506.81;Formulario;Suscripción Newsletter;738.52;576.75;2021-02-13;Google;88;35389;119;292919;7480;0.0163;0.0771
Leads Potenciales;18-24;España;Tablet;Masculino;Social;Promo Verano;2121.83;Registro;Suscripción Newsletter;1145.72;370.99;2021-08-10;Facebook;125;37797;108;245868;7923;0.0098;0.0468
Campaña de Remarketing;45-54;México;Ordenador;Masculino;Búsqueda;Reactivación;1901.74;Descarga;Formulario Contacto;1038.46;378.74;2021-02-13;Google;118;35845;80;174674;11300;0.0106;0.0335
Leads Potenciales;25-34;Colombia;Móvil;Femenino;Búsqueda;Reactivación;1699.43;Descarga;Compra Online;1235.3;595.98;2021-03-28;Facebook;115;20493;115;167617;7985;0.0291;0.0746
Leads Potenciales;45-54;Argentina;Tablet;Femenino;Video;Nuevos Clientes;1546.14;Registro;Compra Online;748.07;346.52;2021-03-18;Google;152;31853;79;147942;12879;0.0109;0.0269
Clientes Frecuentes;18-24;Argentina;Ordenador;Masculino;Búsqueda;Nuevos Clientes;1917.5;Compra;Compra Online;1034.54;575.94;2021-09-15;Instagram;100;31417;125;143718;9382;0.0183;0.0614
Leads Potenciales;25-34;México;Móvil;Femenino;Video;Reactivación;2507.41;Formulario;Descarga App;1178.52;505.76;2021-12-25;Facebook;154;30964;119;286997;8669;0.0163;0.0583
Leads Potenciales;18-24;España;Ordenador;Masculino;Búsqueda;Promo Verano;2286.51;Formulario;Suscripción Newsletter;704.09;334.03;2021-04-06;Facebook;116;24579;89;157016;6783;0.0136;0.0492
Clientes Frecuentes;18-24;España;Tablet;Femenino;Video;Nuevos Clientes;2457.64;Descarga;Compra Online;839.72;458.57;2021-07-19;Instagram;141;29476;54;387325;7946;0.0156;0.0577
Campaña de Remarketing;45-54;Colombia;Móvil;Masculino;Búsqueda;Promo Verano;1504.2;Compra;Formulario Contacto;823.35;604.7;2021-01-27;Instagram;95;29108;78;300261;7425;0.0208;0.0814
Clientes Frecuentes;18-24;Argentina;Tablet;Otro;Display;Nuevos Clientes;1442.22;Descarga;Compra Online;1232.95;502.93;2021-08-04;Instagram;67;35764;49;151823;10854;0.0141;0.0463
Leads Potenciales;35-44;España;Móvil;Otro;Video;Promo Verano;1539.69;Registro;Descarga App;970.95;631.42;2021-11-13;Google;130;26100;126;254393;10793;0.0242;0.0585
Campaña de Remarketing;45-54;Colombia;Móvil;Masculino;Social;Promo Verano;1856.2;Descarga;Formulario Contacto;747;393.52;2021-01-04;Google;120;29419;60;227618;7259;0.0134;0.0542
Segmento Interesados;25-34;México;Tablet;Otro;Búsqueda;Nuevos Clientes;1381.55;Formulario;Descarga App;1114.28;635.7;2021-10-15;Facebook;137;32651;70;363372;7205;0.0195;0.0882
Campaña de Remarketing;45-54;México;Ordenador;Masculino;Display;Black Friday;1851.82;Registro;Descarga App;730.23;330.28;2021-02-28;Google;77;26475;97;380481;9157;0.0125;0.0361
Segmento Interesados;25-34;México;Móvil;Femenino;Social;Nuevos Clientes;2353.02;Compra;Formulario Contacto;1060.15;379.64;2021-11-21;YouTube;119;33097;96;246925;14969;0.0115;0.0254
Campaña de Remarketing;25-34;Argentina;Móvil;Femenino;Display;Reactivación;1604.66;Formulario;Suscripción Newsletter;852.62;354.11;2021-08-07;YouTube;141;32336;89;306364;9750;0.011;0.0363
Clientes Frecuentes;18-24;Colombia;Tablet;Femenino;Display;Reactivación;2325.54;Formulario;Suscripción Newsletter;1048.78;530.58;2021-10-11;YouTube;96;22025;114;248333;11642;0.0241;0.0456
Leads Potenciales;45-54;España;Ordenador;Masculino;Social;Nuevos Clientes;1607.14;Compra;Descarga App;816.12;373.74;2021-03-27;Google;86;30061;65;249553;6714;0.0124;0.0557
Leads Potenciales;45-54;Colombia;Tablet;Masculino;Social;Black Friday;1596.47;Descarga;Descarga App;930.44;636.09;2021-04-03;YouTube;68;19887;126;159658;10696;0.032;0.0595
Campaña de Remarketing;25-34;Argentina;Ordenador;Femenino;Video;Nuevos Clientes;2330.63;Registro;Suscripción Newsletter;946.11;442.14;2021-07-17;Google;139;21708;129;270865;14936;0.0204;0.0296
Leads Potenciales;18-24;Argentina;Tablet;Masculino;Social;Black Friday;2240.75;Formulario;Descarga App;657.85;500.48;2021-08-03;Facebook;149;31854;57;387914;12465;0.0157;0.0402
Campaña de Remarketing;45-54;Argentina;Ordenador;Otro;Búsqueda;Nuevos Clientes;1545.77;Registro;Formulario Contacto;732.61;522.72;2021-03-05;Instagram;106;31944;120;142528;13845;0.0164;0.0378
Leads Potenciales;25-34;España;Ordenador;Otro;Video;Promo Verano;1342.17;Registro;Formulario Contacto;720.95;419.24;2021-09-16;Instagram;114;20523;65;189647;14709;0.0204;0.0285
Clientes Frecuentes;35-44;España;Ordenador;Masculino;Display;Nuevos Clientes;1882.16;Descarga;Formulario Contacto;673.82;331.13;2021-06-02;YouTube;72;38456;80;183729;15118;0.0086;0.0219
Leads Potenciales;35-44;México;Ordenador;Femenino;Display;Black Friday;1639.44;Registro;Descarga App;900.27;549.32;2021-05-07;Instagram;153;20616;85;248099;11600;0.0266;0.0474
Segmento Interesados;25-34;Colombia;Tablet;Otro;Búsqueda;Nuevos Clientes;1759.14;Compra;Descarga App;1059.3;348.68;2021-04-26;YouTube;109;31278;129;342533;14633;0.0111;0.0238
Segmento Interesados;18-24;México;Tablet;Masculino;Búsqueda;Reactivación;1351.35;Descarga;Descarga App;884.92;509.09;2021-08-08;Instagram;70;21532;66;268571;11388;0.0236;0.0447
Segmento Interesados;18-24;Colombia;Tablet;Otro;Video;Nuevos Clientes;1787.58;Compra;Suscripción Newsletter;876.99;472.28;2021-11-22;Instagram;152;33542;111;255582;9889;0.0141;0.0478
Leads Potenciales;25-34;España;Ordenador;Masculino;Display;Black Friday;2362.98;Registro;Descarga App;798.85;621.73;2021-10-08;Facebook;150;29184;109;317337;13825;0.0213;0.045
Leads Potenciales;35-44;España;Ordenador;Femenino;Display;Nuevos Clientes;1821.59;Compra;Suscripción Newsletter;875.54;383.26;2021-03-12;YouTube;95;33152;85;335987;12586;0.0116;0.0305
Segmento Interesados;25-34;España;Ordenador;Masculino;Búsqueda;Black Friday;1652.93;Compra;Compra Online;1082.97;584;2021-11-17;Facebook;99;20065;59;195410;8745;0.0291;0.0668
Campaña de Remarketing;35-44;Colombia;Tablet;Femenino;Social;Reactivación;2301.67;Registro;Compra Online;881.67;388.27;2021-02-09;Google;71;27182;92;303903;14893;0.0143;0.0261
Campaña de Remarketing;45-54;Colombia;Ordenador;Femenino;Video;Nuevos Clientes;2339.12;Registro;Compra Online;1008.92;379.41;2021-12-06;Instagram;149;29795;104;358549;15463;0.0127;0.0245
Segmento Interesados;25-34;España;Móvil;Femenino;Búsqueda;Nuevos Clientes;1511.3;Registro;Formulario Contacto;1299.94;329.92;2021-11-27;Facebook;118;24573;92;339689;8030;0.0134;0.0411
Campaña de Remarketing;35-44;Colombia;Ordenador;Otro;Display;Nuevos Clientes;1897.1;Formulario;Compra Online;989.16;360.8;2021-09-06;Google;94;30647;109;259956;9644;0.0118;0.0374
Clientes Frecuentes;35-44;México;Móvil;Otro;Video;Reactivación;1898.93;Compra;Descarga App;700.99;490.43;2021-09-12;Facebook;144;28315;39;343734;15089;0.0173;0.0325
Clientes Frecuentes;25-34;México;Móvil;Femenino;Social;Nuevos Clientes;2239.77;Compra;Compra Online;793.67;636.45;2021-08-18;YouTube;128;26986;65;389637;14687;0.0236;0.0433
Leads Potenciales;25-34;Colombia;Móvil;Femenino;Búsqueda;Promo Verano;2047.21;Registro;Compra Online;916.74;366.68;2021-04-16;YouTube;81;31993;109;353634;11934;0.0115;0.0307
Segmento Interesados;18-24;Colombia;Ordenador;Femenino;Display;Black Friday;1709.55;Descarga;Formulario Contacto;1098.71;629.53;2021-07-04;Facebook;108;30695;72;179470;13377;0.0205;0.0471
Leads Potenciales;25-34;Colombia;Tablet;Otro;Social;Black Friday;1496.24;Registro;Descarga App;956.18;439.49;2021-12-04;Google;130;21249;85;254708;11749;0.0207;0.0374
Leads Potenciales;45-54;España;Tablet;Otro;Display;Reactivación;2401.47;Compra;Compra Online;683.21;536.85;2021-07-27;YouTube;121;25954;64;249361;11911;0.0207;0.0451
Segmento Interesados;18-24;México;Tablet;Otro;Búsqueda;Promo Verano;1518.23;Compra;Suscripción Newsletter;722.49;340.44;2021-11-03;YouTube;94;25326;39;312198;13119;0.0134;0.026
Clientes Frecuentes;35-44;Colombia;Móvil;Masculino;Social;Black Friday;1897.03;Compra;Compra Online;1089.54;513.49;2021-06-19;YouTube;122;27631;44;264639;12948;0.0186;0.0397
Campaña de Remarketing;25-34;Colombia;Móvil;Masculino;Búsqueda;Black Friday;2549.3;Compra;Formulario Contacto;709.48;581.45;2021-09-07;Instagram;80;37271;129;132812;12240;0.0156;0.0475
Campaña de Remarketing;25-34;España;Ordenador;Otro;Video;Nuevos Clientes;2410.97;Registro;Formulario Contacto;898.21;485.31;2021-04-03;Instagram;124;36375;83;323430;13113;0.0133;0.037
Campaña de Remarketing;45-54;Argentina;Tablet;Femenino;Display;Nuevos Clientes;1344.41;Compra;Descarga App;926.54;387.63;2021-03-08;Google;107;35863;123;277634;7075;0.0108;0.0548
Segmento Interesados;35-44;Argentina;Ordenador;Otro;Social;Reactivación;2302.32;Descarga;Descarga App;1277.08;338.52;2021-10-08;Google;66;33166;63;220902;7992;0.0102;0.0424
Segmento Interesados;18-24;México;Ordenador;Masculino;Búsqueda;Black Friday;2135.65;Formulario;Descarga App;759.69;352.85;2021-10-12;Google;93;25097;123;154445;7649;0.0141;0.0461
Clientes Frecuentes;45-54;Colombia;Móvil;Femenino;Video;Promo Verano;1946.75;Descarga;Formulario Contacto;733.14;630.76;2021-06-26;YouTube;119;26577;58;311354;8115;0.0237;0.0777
Leads Potenciales;45-54;España;Ordenador;Femenino;Búsqueda;Nuevos Clientes;2398.78;Registro;Suscripción Newsletter;1196.69;377.19;2021-02-12;Google;76;37552;118;172109;10388;0.01;0.0363
Campaña de Remarketing;25-34;Argentina;Móvil;Otro;Social;Reactivación;2138.63;Compra;Suscripción Newsletter;941.28;604.82;2021-05-09;Instagram;127;31747;95;140719;9285;0.0191;0.0651
Segmento Interesados;25-34;Argentina;Móvil;Masculino;Búsqueda;Nuevos Clientes;1885.06;Registro;Formulario Contacto;1271.03;604.26;2021-05-08;Google;68;30366;78;338497;14829;0.0199;0.0407
Campaña de Remarketing;18-24;Argentina;Ordenador;Femenino;Video;Nuevos Clientes;2135.65;Descarga;Descarga App;1144.56;573.81;2021-04-03;Instagram;76;32111;117;287301;10698;0.0179;0.0536
Clientes Frecuentes;45-54;Colombia;Ordenador;Masculino;Social;Black Friday;1481.96;Descarga;Formulario Contacto;1180.34;645.46;2021-08-07;Facebook;100;30537;45;311619;12752;0.0211;0.0506
Campaña de Remarketing;25-34;México;Ordenador;Masculino;Video;Reactivación;1721.05;Registro;Suscripción Newsletter;1115.07;398.63;2021-11-28;Google;133;37901;62;190436;9353;0.0105;0.0426
Campaña de Remarketing;45-54;México;Ordenador;Masculino;Video;Nuevos Clientes;1657.95;Registro;Suscripción Newsletter;654.4;623.84;2021-01-11;Facebook;144;34366;108;275973;8682;0.0182;0.0719
Segmento Interesados;45-54;México;Móvil;Masculino;Video;Promo Verano;2382.69;Descarga;Descarga App;1036.53;490.51;2021-02-08;Instagram;144;22243;127;249061;15108;0.0221;0.0325
Clientes Frecuentes;25-34;México;Móvil;Otro;Video;Black Friday;2145.76;Descarga;Formulario Contacto;860.53;433.49;2021-10-11;Facebook;100;22746;102;286037;9699;0.0191;0.0447
Clientes Frecuentes;25-34;España;Móvil;Masculino;Display;Nuevos Clientes;2327.88;Formulario;Compra Online;825.39;348.38;2021-07-27;Instagram;80;29334;118;389407;14258;0.0119;0.0244
Clientes Frecuentes;35-44;Argentina;Ordenador;Femenino;Búsqueda;Black Friday;2333.34;Compra;Descarga App;1036.36;337.6;2021-08-16;Facebook;100;38114;63;133859;14180;0.0089;0.0238
Campaña de Remarketing;45-54;Argentina;Tablet;Masculino;Búsqueda;Reactivación;1992.46;Descarga;Descarga App;1212.82;394.34;2021-10-08;Instagram;141;22753;54;307382;13571;0.0173;0.0291
Campaña de Remarketing;25-34;México;Tablet;Masculino;Búsqueda;Promo Verano;2268.73;Descarga;Formulario Contacto;731.23;647.65;2021-05-21;Google;101;20245;84;346182;10097;0.032;0.0641
Leads Potenciales;35-44;Colombia;Tablet;Masculino;Display;Black Friday;1405.29;Descarga;Compra Online;1299.4;596.51;2021-01-22;YouTube;125;29876;48;163510;8865;0.02;0.0673
Segmento Interesados;35-44;México;Tablet;Femenino;Display;Reactivación;2233.46;Compra;Descarga App;1031.41;413.45;2021-05-23;YouTube;77;37739;65;194645;13505;0.011;0.0306
Segmento Interesados;35-44;Colombia;Ordenador;Femenino;Video;Nuevos Clientes;2463.57;Descarga;Suscripción Newsletter;1293.77;555.66;2021-06-21;Instagram;84;23251;66;188307;12354;0.0239;0.045
Segmento Interesados;45-54;Colombia;Móvil;Femenino;Display;Nuevos Clientes;1641.19;Formulario;Suscripción Newsletter;803.86;646.07;2021-07-23;Facebook;154;27161;90;147770;14315;0.0238;0.0451
Clientes Frecuentes;35-44;Argentina;Móvil;Femenino;Social;Black Friday;1805.61;Compra;Formulario Contacto;692.05;367.54;2021-02-15;Facebook;104;29846;78;134124;14658;0.0123;0.0251
Segmento Interesados;45-54;México;Ordenador;Otro;Display;Black Friday;2543.75;Registro;Formulario Contacto;1022.22;558.62;2021-06-17;Google;130;28272;118;218844;11888;0.0198;0.047
Segmento Interesados;45-54;México;Ordenador;Femenino;Social;Reactivación;2199.01;Descarga;Descarga App;867.78;454.34;2021-01-07;Facebook;88;33167;50;185521;12184;0.0137;0.0373
Campaña de Remarketing;25-34;Argentina;Ordenador;Femenino;Social;Black Friday;1733.91;Formulario;Compra Online;986.76;462.06;2021-08-08;Instagram;140;29654;127;303219;7732;0.0156;0.0598
Leads Potenciales;25-34;Argentina;Móvil;Masculino;Búsqueda;Black Friday;2296.06;Descarga;Formulario Contacto;1214.07;434.56;2021-05-13;Google;117;34438;56;214876;7798;0.0126;0.0557
Clientes Frecuentes;18-24;Argentina;Móvil;Masculino;Búsqueda;Promo Verano;1824.67;Descarga;Suscripción Newsletter;1251.44;578.15;2021-02-02;Instagram;69;19800;92;369440;14338;0.0292;0.0403
Leads Potenciales;45-54;España;Móvil;Otro;Social;Black Friday;2550.48;Descarga;Descarga App;1124.55;438.83;2021-08-27;Google;89;20272;75;183899;14303;0.0216;0.0307
Leads Potenciales;25-34;Argentina;Tablet;Femenino;Social;Promo Verano;2271.1;Formulario;Suscripción Newsletter;1256.61;526.91;2021-12-18;Instagram;88;37173;98;210271;10204;0.0142;0.0516
Clientes Frecuentes;45-54;Argentina;Tablet;Masculino;Social;Nuevos Clientes;2357.98;Formulario;Descarga App;1081.15;588.67;2021-05-12;Facebook;67;22806;84;317782;15020;0.0258;0.0392
Leads Potenciales;25-34;México;Móvil;Femenino;Social;Reactivación;1735.99;Compra;Suscripción Newsletter;910.23;533.01;2021-05-19;Facebook;154;24826;67;316522;7453;0.0215;0.0715
Leads Potenciales;45-54;Colombia;Ordenador;Femenino;Display;Promo Verano;1355.7;Descarga;Suscripción Newsletter;744.15;557.75;2021-05-08;YouTube;144;24018;46;320590;14278;0.0232;0.0391
Campaña de Remarketing;25-34;España;Ordenador;Femenino;Social;Reactivación;2292.2;Compra;Formulario Contacto;846.78;455.45;2021-12-01;Instagram;100;20215;91;352399;15008;0.0225;0.0303
Leads Potenciales;25-34;Argentina;Ordenador;Otro;Social;Reactivación;1431.47;Formulario;Formulario Contacto;799.04;556.34;2021-08-04;Facebook;134;29477;72;337440;13777;0.0189;0.0404
Segmento Interesados;25-34;Colombia;Ordenador;Femenino;Búsqueda;Reactivación;1380.72;Registro;Formulario Contacto;1086.65;559.27;2021-06-02;Facebook;122;33246;117;321639;11411;0.0168;0.049
Leads Potenciales;35-44;España;Tablet;Otro;Búsqueda;Nuevos Clientes;2385.25;Formulario;Suscripción Newsletter;981.14;518.54;2021-12-01;YouTube;79;28469;69;321927;6715;0.0182;0.0772
Clientes Frecuentes;45-54;Argentina;Móvil;Otro;Búsqueda;Reactivación;2240.9;Formulario;Descarga App;897.74;408.89;2021-09-01;Instagram;140;24584;66;251774;8852;0.0166;0.0462
Leads Potenciales;45-54;España;Tablet;Masculino;Social;Nuevos Clientes;1355.64;Compra;Suscripción Newsletter;1163.9;481.59;2021-02-10;Instagram;113;24771;62;228513;14534;0.0194;0.0331
Segmento Interesados;35-44;México;Móvil;Otro;Video;Nuevos Clientes;1834.09;Compra;Compra Online;1286.58;550.89;2021-05-11;Instagram;83;26279;54;360425;9506;0.021;0.058
Clientes Frecuentes;45-54;México;Móvil;Otro;Display;Nuevos Clientes;1497.3;Registro;Compra Online;705.11;576.51;2021-07-24;YouTube;147;29613;77;147730;6643;0.0195;0.0868
Segmento Interesados;45-54;Argentina;Ordenador;Femenino;Video;Promo Verano;1980.46;Compra;Suscripción Newsletter;847.79;428.73;2021-08-26;Instagram;121;33222;88;266969;7697;0.0129;0.0557
Campaña de Remarketing;25-34;México;Ordenador;Masculino;Video;Black Friday;1691.68;Formulario;Formulario Contacto;1089.65;377.83;2021-08-16;YouTube;103;35213;106;303102;13710;0.0107;0.0276
Segmento Interesados;25-34;Argentina;Tablet;Femenino;Búsqueda;Black Friday;2268.83;Registro;Formulario Contacto;1100.14;353.82;2021-09-27;YouTube;143;23155;80;313730;7559;0.0153;0.0468
Segmento Interesados;25-34;Colombia;Ordenador;Femenino;Video;Nuevos Clientes;2078.57;Formulario;Suscripción Newsletter;1287.27;541.18;2021-06-06;Google;127;35924;67;302042;7876;0.0151;0.0687
Campaña de Remarketing;35-44;México;Móvil;Femenino;Social;Nuevos Clientes;1797.43;Registro;Suscripción Newsletter;1214.6;365.55;2021-10-13;Instagram;152;23709;78;336250;13509;0.0154;0.0271
Clientes Frecuentes;45-54;España;Tablet;Masculino;Video;Nuevos Clientes;2184.8;Registro;Descarga App;786.37;600.08;2021-02-16;Facebook;103;32572;74;238457;10565;0.0184;0.0568
Clientes Frecuentes;45-54;México;Ordenador;Masculino;Búsqueda;Promo Verano;2098.35;Formulario;Formulario Contacto;1149.68;529.66;2021-04-12;YouTube;85;29052;68;174713;14280;0.0182;0.0371
Segmento Interesados;45-54;España;Móvil;Otro;Display;Nuevos Clientes;1467.6;Compra;Descarga App;760.16;552.36;2021-07-14;Google;118;32192;93;255062;14224;0.0172;0.0388
Clientes Frecuentes;35-44;Argentina;Tablet;Masculino;Display;Black Friday;2567.17;Registro;Compra Online;738.66;377.57;2021-02-03;YouTube;89;28735;86;208482;6523;0.0131;0.0579
Leads Potenciales;45-54;España;Tablet;Femenino;Social;Nuevos Clientes;2224.35;Registro;Suscripción Newsletter;813.43;502.1;2021-09-14;YouTube;104;22444;66;291661;7476;0.0224;0.0672
Clientes Frecuentes;18-24;Colombia;Móvil;Otro;Display;Reactivación;1648.82;Formulario;Descarga App;1216.56;447.11;2021-04-21;Facebook;94;36536;79;373725;13620;0.0122;0.0328
Campaña de Remarketing;35-44;España;Móvil;Otro;Display;Promo Verano;2180.59;Formulario;Formulario Contacto;815.43;421.4;2021-05-14;YouTube;83;30578;121;275692;11327;0.0138;0.0372
Campaña de Remarketing;35-44;España;Ordenador;Otro;Display;Nuevos Clientes;2416.87;Descarga;Formulario Contacto;1157.68;333.34;2021-11-26;Instagram;93;32308;62;323019;13465;0.0103;0.0248
Leads Potenciales;18-24;España;Tablet;Masculino;Social;Black Friday;2046.83;Compra;Suscripción Newsletter;798.87;338.94;2021-02-21;Instagram;151;31521;41;165572;7815;0.0108;0.0434
Segmento Interesados;18-24;Argentina;Móvil;Femenino;Social;Promo Verano;1804.68;Descarga;Formulario Contacto;804.46;371.14;2021-04-28;Instagram;93;26799;59;215738;10300;0.0138;0.036
Segmento Interesados;25-34;Argentina;Tablet;Masculino;Video;Black Friday;1403.35;Descarga;Formulario Contacto;1046.86;382.58;2021-03-04;YouTube;119;32785;129;302799;13286;0.0117;0.0288
Segmento Interesados;25-34;México;Móvil;Masculino;Display;Reactivación;1826.86;Registro;Descarga App;1052.45;481.47;2021-03-23;Instagram;108;36044;129;166371;7815;0.0134;0.0616
Leads Potenciales;18-24;Colombia;Móvil;Otro;Búsqueda;Promo Verano;1827.42;Descarga;Formulario Contacto;983.03;388.02;2021-07-08;Facebook;136;20854;88;298499;14738;0.0186;0.0263
Clientes Frecuentes;45-54;México;Tablet;Otro;Social;Black Friday;1514.31;Registro;Compra Online;725.99;483.63;2021-09-10;Facebook;128;30762;73;378296;14857;0.0157;0.0326
Clientes Frecuentes;25-34;Argentina;Ordenador;Femenino;Video;Reactivación;2546.05;Compra;Formulario Contacto;1040.32;443.59;2021-03-24;Facebook;142;33505;40;363467;8223;0.0132;0.0539
Clientes Frecuentes;25-34;España;Tablet;Masculino;Video;Black Friday;1840.39;Descarga;Suscripción Newsletter;752.36;365.51;2021-02-25;YouTube;127;30474;105;358863;11619;0.012;0.0315
Segmento Interesados;18-24;Colombia;Tablet;Femenino;Video;Promo Verano;1700.4;Compra;Suscripción Newsletter;1198.4;406.9;2021-01-17;Google;152;24776;81;347881;12702;0.0164;0.032
Clientes Frecuentes;35-44;México;Tablet;Femenino;Video;Black Friday;1518.9;Registro;Suscripción Newsletter;922.89;600.6;2021-05-01;Facebook;155;29645;89;346002;15326;0.0203;0.0392
Clientes Frecuentes;18-24;Argentina;Móvil;Otro;Búsqueda;Reactivación;1577.35;Registro;Descarga App;1213.91;463.4;2021-05-24;Instagram;134;34781;59;256419;9088;0.0133;0.051
Clientes Frecuentes;45-54;España;Tablet;Masculino;Display;Black Friday;1410.77;Registro;Formulario Contacto;972.3;564.45;2021-09-02;Instagram;128;32872;124;331729;14121;0.0172;0.04
Segmento Interesados;18-24;Argentina;Tablet;Masculino;Social;Promo Verano;2455.33;Compra;Compra Online;670.01;510.4;2021-07-16;Google;132;35158;53;187518;13764;0.0145;0.0371
Segmento Interesados;45-54;España;Móvil;Femenino;Social;Black Friday;1515.12;Descarga;Compra Online;675.72;419.79;2021-02-19;Google;129;31367;39;370390;11984;0.0134;0.035
Campaña de Remarketing;45-54;Colombia;Tablet;Masculino;Social;Nuevos Clientes;2278.83;Registro;Descarga App;782.18;487.94;2021-03-23;Facebook;95;25382;107;136503;13047;0.0192;0.0374
Campaña de Remarketing;18-24;España;Tablet;Masculino;Social;Nuevos Clientes;1498.17;Registro;Formulario Contacto;1084.72;534.65;2021-06-03;YouTube;143;38800;58;164657;7006;0.0138;0.0763
Campaña de Remarketing;45-54;Argentina;Ordenador;Otro;Búsqueda;Black Friday;2547.77;Formulario;Compra Online;785.98;345.32;2021-01-08;Google;119;24471;60;267083;9986;0.0141;0.0346
Segmento Interesados;25-34;México;Ordenador;Femenino;Display;Reactivación;1482.91;Registro;Formulario Contacto;1023.61;391.69;2021-11-27;Instagram;97;38507;98;238276;11451;0.0102;0.0342
Clientes Frecuentes;45-54;México;Ordenador;Masculino;Display;Promo Verano;1942.88;Descarga;Suscripción Newsletter;1036.63;561.91;2021-05-02;Instagram;93;30506;99;172620;13668;0.0184;0.0411
Leads Potenciales;35-44;México;Móvil;Otro;Social;Promo Verano;1559.72;Registro;Descarga App;753.51;353.25;2021-05-18;Facebook;82;35449;90;310831;6583;0.01;0.0537
Clientes Frecuentes;25-34;México;Tablet;Otro;Social;Black Friday;2223.69;Compra;Descarga App;786.94;515.28;2021-07-04;Facebook;87;25189;85;304857;7466;0.0205;0.069
